model,epoch,next_latent_mse,rollout_mse_auc,temporal_straightness,control_success_pct
direct,1,0.030274,0.989199,0.267300,16
residual,1,0.021983,0.787329,0.368425,34
direct,2,0.017188,0.721829,0.416921,
residual,2,0.012417,0.703882,0.458154,
direct,3,0.012645,0.712024,0.441567,76
residual,3,0.009347,0.700894,0.484193,78
direct,4,0.008152,0.644536,0.461704,
residual,4,0.005847,0.789445,0.501675,
direct,5,0.006074,0.619123,0.472197,84
residual,5,0.004586,0.654840,0.511158,84
direct,6,0.004919,0.593091,0.482400,
residual,6,0.003924,0.612191,0.515799,
direct,7,0.005178,0.648337,0.490173,88
residual,7,0.003320,0.553165,0.520840,84
direct,8,0.004191,0.548855,0.495330,
residual,8,0.003005,0.536373,0.523825,
direct,9,0.004181,0.543874,0.499491,
residual,9,0.002803,0.525373,0.525749,
direct,10,0.004225,0.481633,0.508395,84
residual,10,0.002837,0.495551,0.526086,86
